,location_companies,location_schools,location_vegan,location_airports,location_starbucks,distance1,distance2,distance3,distance4
38,"{'type': 'Point', 'coordinates': [-71.101375, 42.364014]}","{'type': 'Point', 'coordinates': [-71.112298, 42.35569]}","{'type': 'Point', 'coordinates': [-71.09877879999999, 42.3622861]}","{'type': 'Point', 'coordinates': [-71.016407, 42.366566]}","{'type': 'Point', 'coordinates': [-71.1, 42.37]}",1.289625087087666,0.2871604053825084,6.988525916562012,0.6753208529038907
39,"{'type': 'Point', 'coordinates': [-85.7617724, 38.2571486]}","{'type': 'Point', 'coordinates': [-85.7530072, 38.2501773]}","{'type': 'Point', 'coordinates': [-85.756525, 38.2559218]}","{'type': 'Point', 'coordinates': [-85.741703, 38.186021]}","{'type': 'Point', 'coordinates': [-85.76, 38.26]}",1.0896556594207252,0.4781897757559407,8.103299852962683,0.3529116370410334
40,"{'type': 'Point', 'coordinates': [-46.6388182, -23.5489433]}","{'type': 'Point', 'coordinates': [-46.63330939999999, -23.5505199]}","{'type': 'Point', 'coordinates': [-46.6395611, -23.5434383]}","{'type': 'Point', 'coordinates': [-46.659116, -23.626859]}","{'type': 'Point', 'coordinates': [-46.64, -23.55]}",0.5884288459334684,0.6169684565112977,8.909831572593218,0.16832744642745887
41,"{'type': 'Point', 'coordinates': [-122.214897, 37.772323]}","{'type': 'Point', 'coordinates': [-122.2131798, 37.7751429]}","{'type': 'Point', 'coordinates': [-122.2213444, 37.7741025]}","{'type': 'Point', 'coordinates': [-122.213261, 37.712304]}","{'type': 'Point', 'coordinates': [-122.23, 37.77]}",0.3480902026875652,0.6004036174774717,6.677239742793526,1.352764611984128
42,"{'type': 'Point', 'coordinates': [-96.8432224, 32.8270045]}","{'type': 'Point', 'coordinates': [-96.83647769999999, 32.8199671]}","{'type': 'Point', 'coordinates': [-96.8388615, 32.8273207]}","{'type': 'Point', 'coordinates': [-96.849864, 32.844425]}","{'type': 'Point', 'coordinates': [-96.83, 32.83]}",1.0050434069229384,0.40910390828528953,2.0346059270122643,1.279931790082242
43,"{'type': 'Point', 'coordinates': [-73.983171, 40.746417]}","{'type': 'Point', 'coordinates': [-73.99255409999999, 40.7529968]}","{'type': 'Point', 'coordinates': [-73.9812702, 40.747576]}","{'type': 'Point', 'coordinates': [-73.871986, 40.774554]}","{'type': 'Point', 'coordinates': [-73.98, 40.75]}",1.0773586033570561,0.20560346596416032,9.876066490053905,0.4798088826328096
44,"{'type': 'Point', 'coordinates': [12.524884, 55.6802318]}","{'type': 'Point', 'coordinates': [12.5248964, 55.6811099]}","{'type': 'Point', 'coordinates': [12.5339869, 55.6815102]}","{'type': 'Point', 'coordinates': [12.649351, 55.628502]}","{'type': 'Point', 'coordinates': [12.52, 55.68]}",0.09767087757738405,0.5882818781648423,9.701031498019747,0.3073626973409554
45,"{'type': 'Point', 'coordinates': [12.5751278, 55.6770321]}","{'type': 'Point', 'coordinates': [12.5695841, 55.6798791]}","{'type': 'Point', 'coordinates': [12.5682149, 55.6851802]}","{'type': 'Point', 'coordinates': [12.649351, 55.628502]}","{'type': 'Point', 'coordinates': [12.57, 55.68]}",0.47026047143771,1.0046256407332745,7.129658007440604,0.46085380703401885
46,"{'type': 'Point', 'coordinates': [-73.986951, 40.756054]}","{'type': 'Point', 'coordinates': [-73.99255409999999, 40.7529968]}","{'type': 'Point', 'coordinates': [-73.9812702, 40.747576]}","{'type': 'Point', 'coordinates': [-73.871986, 40.774554]}","{'type': 'Point', 'coordinates': [-73.99, 40.76]}",0.5818058886157154,1.0575052023014295,9.901029083254755,0.5085470599712594
47,"{'type': 'Point', 'coordinates': [-122.670399, 45.523875]}","{'type': 'Point', 'coordinates': [-122.6783509, 45.5236582]}","{'type': 'Point', 'coordinates': [-122.6785472, 45.51741390000001]}","{'type': 'Point', 'coordinates': [-122.592739, 45.588957]}","{'type': 'Point', 'coordinates': [-122.68, 45.52]}",0.6201335761985565,0.9589943406340522,9.43303452375345,0.8634594697932577
48,"{'type': 'Point', 'coordinates': [-71.1032591, 42.3647559]}","{'type': 'Point', 'coordinates': [-71.11285769999999, 42.3668376]}","{'type': 'Point', 'coordinates': [-71.09877879999999, 42.3622861]}","{'type': 'Point', 'coordinates': [-71.016407, 42.366566]}","{'type': 'Point', 'coordinates': [-71.1, 42.37]}",0.822096312395089,0.4593903319522425,7.140393128620956,0.6418325121178249
49,"{'type': 'Point', 'coordinates': [-46.6773686, -23.5815208]}","{'type': 'Point', 'coordinates': [-46.6789798, -23.5798909]}","{'type': 'Point', 'coordinates': [-46.675382, -23.582134]}","{'type': 'Point', 'coordinates': [-46.659116, -23.626859]}","{'type': 'Point', 'coordinates': [-46.68, -23.58]}",0.2446244864809317,0.21368637315565775,5.374995390642243,0.3171214143413279
50,"{'type': 'Point', 'coordinates': [-123.1139268, 49.261226]}","{'type': 'Point', 'coordinates': [-123.1267371, 49.2671453]}","{'type': 'Point', 'coordinates': [-123.1210049, 49.263078]}","{'type': 'Point', 'coordinates': [-123.180867, 49.193559]}","{'type': 'Point', 'coordinates': [-123.11, 49.26]}",1.1393054513510248,0.5535287217102275,8.960377947753145,0.3159792633799194
51,"{'type': 'Point', 'coordinates': [9.9819779, 53.5688101]}","{'type': 'Point', 'coordinates': [9.9882434, 53.5733463]}","{'type': 'Point', 'coordinates': [9.9837201, 53.5649932]}","{'type': 'Point', 'coordinates': [10.005648, 53.632001]}","{'type': 'Point', 'coordinates': [9.99, 53.56]}",0.6525490292227152,0.4398609315796413,7.200029259081224,1.1140302532440773
52,"{'type': 'Point', 'coordinates': [-80.0520862, 26.706239]}","{'type': 'Point', 'coordinates': [-80.0520185, 26.7117236]}","{'type': 'Point', 'coordinates': [-80.0531762, 26.7102246]}","{'type': 'Point', 'coordinates': [-80.090189, 26.688442]}","{'type': 'Point', 'coordinates': [-80.05, 26.71]}",0.610068650034866,0.4563410101606176,4.272457734767212,0.4668614937270068
53,"{'type': 'Point', 'coordinates': [-122.3229235, 37.5646055]}","{'type': 'Point', 'coordinates': [-122.3270935, 37.56566840000001]}","{'type': 'Point', 'coordinates': [-122.3243109, 37.5637012]}","{'type': 'Point', 'coordinates': [-122.38347, 37.617025]}","{'type': 'Point', 'coordinates': [-122.32, 37.56]}",0.3861873709384976,0.15836421294337466,7.903741344424165,0.5734479343599658
54,"{'type': 'Point', 'coordinates': [-9.135517, 38.7071631]}","{'type': 'Point', 'coordinates': [-9.1464723, 38.7083334]}","{'type': 'Point', 'coordinates': [-9.141388899999999, 38.7080556]}","{'type': 'Point', 'coordinates': [-9.130694, 38.770762]}","{'type': 'Point', 'coordinates': [-9.14, 38.71]}",0.959733036100641,0.5192300667655056,7.0862325476217345,0.5009598351438596
55,"{'type': 'Point', 'coordinates': [-71.0680027, 42.3406534]}","{'type': 'Point', 'coordinates': [-71.0780309, 42.3388629]}","{'type': 'Point', 'coordinates': [-71.0627071, 42.35144469999999]}","{'type': 'Point', 'coordinates': [-71.016407, 42.366566]}","{'type': 'Point', 'coordinates': [-71.07, 42.34]}",0.8481744803409222,1.2767833407327556,5.127644702588934,0.1795692318397672
56,"{'type': 'Point', 'coordinates': [-2.9308322, 43.264499]}","{'type': 'Point', 'coordinates': [-2.92707, 43.259023]}","{'type': 'Point', 'coordinates': [-2.9254428, 43.2615658]}","{'type': 'Point', 'coordinates': [-2.90609, 43.305083]}","{'type': 'Point', 'coordinates': [-2.93, 43.26]}",0.6810535478279568,0.5449687474504277,4.938576906507972,0.5049264615553217
57,"{'type': 'Point', 'coordinates': [9.9490139, 53.5622698]}","{'type': 'Point', 'coordinates': [9.952426899999999, 53.56168419999999]}","{'type': 'Point', 'coordinates': [9.9595019, 53.5636619]}","{'type': 'Point', 'coordinates': [10.005648, 53.632001]}","{'type': 'Point', 'coordinates': [9.99, 53.56]}",0.23469295510757707,0.7099449571293882,8.609856144706583,2.719469201690499
58,"{'type': 'Point', 'coordinates': [-80.190262, 25.774252]}","{'type': 'Point', 'coordinates': [-80.19924309999999, 25.7772992]}","{'type': 'Point', 'coordinates': [-80.19041779999999, 25.7750353]}","{'type': 'Point', 'coordinates': [-80.278972, 25.794941]}","{'type': 'Point', 'coordinates': [-80.19, 25.77]}",0.9612752749157412,0.08851003403030935,9.177665925071631,0.4736616006799985
59,"{'type': 'Point', 'coordinates': [-73.986951, 40.756054]}","{'type': 'Point', 'coordinates': [-73.99255409999999, 40.7529968]}","{'type': 'Point', 'coordinates': [-73.9812702, 40.747576]}","{'type': 'Point', 'coordinates': [-73.871986, 40.774554]}","{'type': 'Point', 'coordinates': [-73.99, 40.76]}",0.5818058886157154,1.0575052023014295,9.901029083254755,0.5085470599712594
60,"{'type': 'Point', 'coordinates': [-121.877636, 37.320052]}","{'type': 'Point', 'coordinates': [-121.8825091, 37.32829]}","{'type': 'Point', 'coordinates': [-121.8890874, 37.3269978]}","{'type': 'Point', 'coordinates': [-121.929429, 37.369491]}","{'type': 'Point', 'coordinates': [-121.87, 37.32]}",1.0125966628676892,1.2738748198529017,7.156292626110171,0.6754593496026842
61,"{'type': 'Point', 'coordinates': [-80.1899371, 26.0607497]}","{'type': 'Point', 'coordinates': [-80.2000932, 26.0558589]}","{'type': 'Point', 'coordinates': [-80.190075, 26.06284]}","{'type': 'Point', 'coordinates': [-80.145259, 26.07171]}","{'type': 'Point', 'coordinates': [-80.18, 26.03]}",1.151403803061701,0.23290418291004344,4.627394292881931,3.5614163378072394
62,"{'type': 'Point', 'coordinates': [-93.621998, 41.581232]}","{'type': 'Point', 'coordinates': [-93.6166243, 41.5726931]}","{'type': 'Point', 'coordinates': [-93.6111152, 41.5900642]}","{'type': 'Point', 'coordinates': [-93.648461, 41.53279]}","{'type': 'Point', 'coordinates': [-93.63, 41.59]}",1.0497321364462424,1.3359496129030892,5.820814513870095,1.180784054825174
63,"{'type': 'Point', 'coordinates': [-96.797111, 32.781078]}","{'type': 'Point', 'coordinates': [-96.8008291, 32.7792363]}","{'type': 'Point', 'coordinates': [-96.7978898, 32.7798784]}","{'type': 'Point', 'coordinates': [-96.849864, 32.844425]}","{'type': 'Point', 'coordinates': [-96.8, 32.78]}",0.4035503619186715,0.15200903454121442,8.60011882486206,0.2955727174992442
64,"{'type': 'Point', 'coordinates': [-77.05681, 38.905504]}","{'type': 'Point', 'coordinates': [-77.05236819999999, 38.90764619999999]}","{'type': 'Point', 'coordinates': [-77.0632124, 38.9075068]}","{'type': 'Point', 'coordinates': [-77.043337, 38.853716]}","{'type': 'Point', 'coordinates': [-77.06, 38.91]}",0.4522996136261676,0.5972467160872642,5.877127719284042,0.5712305358786056
65,"{'type': 'Point', 'coordinates': [-71.0814466, 42.3672873]}","{'type': 'Point', 'coordinates': [-71.06984539999999, 42.3607954]}","{'type': 'Point', 'coordinates': [-71.0820873, 42.3644396]}","{'type': 'Point', 'coordinates': [-71.016407, 42.366566]}","{'type': 'Point', 'coordinates': [-71.08, 42.37]}",1.195989186400024,0.3210855702685874,5.345485234931749,0.32429731011858937
66,"{'type': 'Point', 'coordinates': [-80.306331, 25.723408]}","{'type': 'Point', 'coordinates': [-80.3052678, 25.7204052]}","{'type': 'Point', 'coordinates': [-80.3007183, 25.7331642]}","{'type': 'Point', 'coordinates': [-80.278972, 25.794941]}","{'type': 'Point', 'coordinates': [-80.3, 25.73]}",0.35057068017020837,1.222220933331689,8.41514294682294,0.969543929737662
67,"{'type': 'Point', 'coordinates': [-122.036849, 37.369195]}","{'type': 'Point', 'coordinates': [-122.0432872, 37.3669917]}","{'type': 'Point', 'coordinates': [-122.0299706, 37.3764507]}","{'type': 'Point', 'coordinates': [-121.929429, 37.369491]}","{'type': 'Point', 'coordinates': [-122.04, 37.37]}",0.6196404868863985,1.0104183842927326,9.49554460752953,0.29257203421836203
